daytime,time,result_flg,time1_diff,time2_diff,time3_diff,time4_diff,time5_diff,time6_diff,time7_diff,time8_diff,time9_diff,time10_diff,time11_diff,time12_diff,over_avg_5,over_avg_12,over_avg_24,over_cross_avg_5,over_cross_avg_12,over_cross_avg_24,under_cross_avg_5,under_cross_avg_12,under_cross_avg_24,trend_avg_5,trend_avg_12,trend_avg_24,trend_5_over_12,trend_5_over_24,trend_12_over_24,trend_5_over_cross_12,trend_5_over_cross_24,trend_12_over_cross_24,trend_5_under_cross_12,trend_5_under_cross_24,trend_12_under_cross_24
20170323.0,15300.0,0.0,-0.015,0.004,0.017,0.006,-0.039,0.005,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170323.0,20000.0,1.0,0.043,-0.015,0.004,0.017,0.006,-0.039,0.005,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170323.0,20100.0,0.0,-0.015,0.043,-0.015,0.004,0.017,0.006,-0.039,0.005,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170323.0,22200.0,1.0,0.028,-0.015,0.043,-0.015,0.004,0.017,0.006,-0.039,0.005,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170323.0,213300.0,0.0,-0.161,0.028,-0.015,0.043,-0.015,0.004,0.017,0.006,-0.039,0.005,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170323.0,213900.0,1.0,0.047,-0.161,0.028,-0.015,0.043,-0.015,0.004,0.017,0.006,-0.039,0.005,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170323.0,222800.0,0.0,-0.215,0.047,-0.161,0.028,-0.015,0.043,-0.015,0.004,0.017,0.006,-0.039,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170323.0,234700.0,1.0,0.372,-0.215,0.047,-0.161,0.028,-0.015,0.043,-0.015,0.004,0.017,0.006,-0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170324.0,4200.0,1.0,0.125,0.372,-0.215,0.047,-0.161,0.028,-0.015,0.043,-0.015,0.004,0.017,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170324.0,4900.0,1.0,0.001,0.125,0.372,-0.215,0.047,-0.161,0.028,-0.015,0.043,-0.015,0.004,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170324.0,4900.0,0.0,-0.001,0.001,0.125,0.372,-0.215,0.047,-0.161,0.028,-0.015,0.043,-0.015,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170326.0,10800.0,1.0,0.119,-0.001,0.001,0.125,0.372,-0.215,0.047,-0.161,0.028,-0.015,0.043,-0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170326.0,11800.0,1.0,0.0,0.119,-0.001,0.001,0.125,0.372,-0.215,0.047,-0.161,0.028,-0.015,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170326.0,220300.0,0.0,0.0,0.0,0.119,-0.001,0.001,0.125,0.372,-0.215,0.047,-0.161,0.028,-0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170327.0,220000.0,1.0,-1.162,0.0,0.0,0.119,-0.001,0.001,0.125,0.372,-0.215,0.047,-0.161,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170327.0,220500.0,0.0,0.009,-1.162,0.0,0.0,0.119,-0.001,0.001,0.125,0.372,-0.215,0.047,-0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170327.0,221000.0,1.0,-0.017,0.009,-1.162,0.0,0.0,0.119,-0.001,0.001,0.125,0.372,-0.215,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170327.0,221500.0,0.0,0.052,-0.017,0.009,-1.162,0.0,0.0,0.119,-0.001,0.001,0.125,0.372,-0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170327.0,222000.0,1.0,-0.036,0.052,-0.017,0.009,-1.162,0.0,0.0,0.119,-0.001,0.001,0.125,0.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170327.0,222500.0,0.0,0.034,-0.036,0.052,-0.017,0.009,-1.162,0.0,0.0,0.119,-0.001,0.001,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170327.0,223000.0,1.0,-0.059,0.034,-0.036,0.052,-0.017,0.009,-1.162,0.0,0.0,0.119,-0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170327.0,223500.0,0.0,0.116,-0.059,0.034,-0.036,0.052,-0.017,0.009,-1.162,0.0,0.0,0.119,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170327.0,224000.0,1.0,-0.041,0.116,-0.059,0.034,-0.036,0.052,-0.017,0.009,-1.162,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170327.0,224500.0,1.0,0.037,-0.041,0.116,-0.059,0.034,-0.036,0.052,-0.017,0.009,-1.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170327.0,225000.0,1.0,0.081,0.037,-0.041,0.116,-0.059,0.034,-0.036,0.052,-0.017,0.009,-1.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170327.0,233400.0,1.0,0.019,0.081,0.037,-0.041,0.116,-0.059,0.034,-0.036,0.052,-0.017,0.009,-1.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170327.0,233500.0,1.0,0.009,0.019,0.081,0.037,-0.041,0.116,-0.059,0.034,-0.036,0.052,-0.017,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170327.0,233600.0,1.0,0.005,0.009,0.019,0.081,0.037,-0.041,0.116,-0.059,0.034,-0.036,0.052,-0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170327.0,233800.0,0.0,0.013,0.005,0.009,0.019,0.081,0.037,-0.041,0.116,-0.059,0.034,-0.036,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170327.0,234000.0,1.0,-0.03,0.013,0.005,0.009,0.019,0.081,0.037,-0.041,0.116,-0.059,0.034,-0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170327.0,234000.0,1.0,0.0,-0.03,0.013,0.005,0.009,0.019,0.081,0.037,-0.041,0.116,-0.059,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
