daytime,time,mid
20170328.0,110000.0,110.611
20170328.0,110500.0,110.611
20170328.0,111000.0,110.663
20170328.0,111500.0,110.642
20170328.0,112000.0,110.651
20170328.0,112500.0,110.651
20170328.0,113000.0,110.666
20170328.0,113500.0,110.647
20170328.0,114000.0,110.628
20170328.0,114500.0,110.598
20170328.0,115000.0,110.615
20170328.0,115500.0,110.64
20170328.0,120000.0,110.645
20170328.0,120500.0,110.612
20170328.0,121000.0,110.612
20170328.0,121500.0,110.603
20170328.0,122000.0,110.607
20170328.0,122500.0,110.573
20170328.0,123000.0,110.561
20170328.0,123500.0,110.551
20170328.0,124000.0,110.562
20170328.0,124500.0,110.56
20170328.0,125000.0,110.567
20170328.0,125500.0,110.587
20170328.0,130000.0,110.596
20170328.0,130500.0,110.6
20170328.0,131000.0,110.583
20170328.0,131500.0,110.588
20170328.0,132000.0,110.575
20170328.0,132500.0,110.528
20170328.0,133000.0,110.531
20170328.0,133500.0,110.55
20170328.0,134000.0,110.587
20170328.0,134500.0,110.585
20170328.0,135000.0,110.572
20170328.0,135500.0,110.564
20170328.0,140000.0,110.573
20170328.0,140500.0,110.566
20170328.0,141000.0,110.572
20170328.0,141500.0,110.56
20170328.0,142000.0,110.564
20170328.0,142500.0,110.581
20170328.0,143000.0,110.576
20170328.0,143500.0,110.581
20170328.0,144000.0,110.603
20170328.0,144500.0,110.61
20170328.0,145000.0,110.611
20170328.0,145500.0,110.627
20170328.0,150000.0,110.637
20170328.0,150500.0,110.66
20170328.0,151000.0,110.72
20170328.0,151500.0,110.682
20170328.0,152000.0,110.671
20170328.0,152500.0,110.66
20170328.0,153000.0,110.679
20170328.0,153500.0,110.654
20170328.0,154000.0,110.651
20170328.0,155000.0,110.717
20170328.0,155500.0,110.719
20170328.0,160000.0,110.716
20170328.0,160500.0,110.69
20170328.0,161000.0,110.648
20170328.0,161500.0,110.543
20170328.0,162000.0,110.57
20170328.0,162500.0,110.601
20170328.0,163000.0,110.624
20170328.0,163500.0,110.619
20170328.0,164000.0,110.662
20170328.0,164500.0,110.675
20170328.0,165000.0,110.728
20170328.0,165500.0,110.709
20170328.0,170000.0,110.688
20170328.0,170500.0,110.684
20170328.0,171000.0,110.66
20170328.0,171500.0,110.647
20170328.0,172000.0,110.638
20170328.0,172500.0,110.656
20170328.0,173000.0,110.657
20170328.0,173500.0,110.651
20170328.0,174000.0,110.696
20170328.0,174500.0,110.695
20170328.0,175000.0,110.699
20170328.0,175500.0,110.704
20170328.0,180000.0,110.686
20170328.0,180500.0,110.653
20170328.0,181000.0,110.662
20170328.0,181500.0,110.641
20170328.0,182000.0,110.651
20170328.0,182500.0,110.657
20170328.0,183000.0,110.644
20170328.0,183500.0,110.662
20170328.0,184000.0,110.691
20170328.0,184500.0,110.686
20170328.0,185000.0,110.674
20170328.0,185500.0,110.701
20170328.0,190000.0,110.707
20170328.0,190500.0,110.683
20170328.0,191000.0,110.668
20170328.0,191500.0,110.68
20170328.0,192000.0,110.64
20170328.0,192500.0,110.635
20170328.0,193000.0,110.617
20170328.0,193500.0,110.612
20170328.0,194000.0,110.618
20170328.0,194500.0,110.594
20170328.0,195000.0,110.588
20170328.0,195500.0,110.601
20170328.0,200000.0,110.576
20170328.0,200500.0,110.518
20170328.0,201000.0,110.581
20170328.0,201500.0,110.518
20170328.0,202000.0,110.531
20170328.0,202500.0,110.47
20170328.0,203000.0,110.478
20170328.0,203500.0,110.47
20170328.0,204000.0,110.396
20170328.0,204500.0,110.405
20170328.0,205000.0,110.423
20170328.0,205500.0,110.406
20170328.0,210000.0,110.445
20170328.0,210500.0,110.408
20170328.0,211000.0,110.336
20170328.0,211500.0,110.36
20170328.0,212000.0,110.283
20170328.0,212500.0,110.25
20170328.0,213000.0,110.282
20170328.0,213500.0,110.288
20170328.0,214000.0,110.271
20170328.0,214500.0,110.282
20170328.0,215000.0,110.297
20170328.0,215500.0,110.286
20170328.0,220000.0,110.322
20170328.0,220500.0,110.308
20170328.0,221000.0,110.229
20170328.0,221500.0,110.273
20170328.0,222000.0,110.293
20170328.0,222500.0,110.297
